Partida Aduanera,Descripcion de la Partida Aduanera,Fecha,Qty,Und,U$ FAS Tot,U$ Flete & Seguro Tot,U$ CIF Tot,U$ FAS Und,U$ CIF Und,U$ (CIF + Imp) Und,Impuestos (%),Pais de Origen,Distrito de Descarga
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2019,30.000,KG,2189.000,27.000,2216.000,72.966,73.866,73.866,0.000,HONG KONG,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/09/2019,14224.000,KG,150178.000,150.000,150328.000,10.558,10.568,10.568,0.000,MEXICO,SAN DIEGO CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/09/2019,2349.000,KG,200000.000,2500.000,202500.000,85.142,86.206,86.206,0.000,MEXICO,HOUSTON TEX.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/10/2019,420.000,KG,15713.000,1320.000,17033.000,37.411,40.554,40.554,0.000,INDONESIA,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/10/2019,1400.000,KG,26600.000,3200.000,29800.000,19.000,21.285,21.285,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/10/2019,4501.000,KG,47520.000,933.000,48453.000,10.557,10.764,10.764,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/11/2019,7235.000,KG,138714.000,16000.000,154714.000,19.172,21.384,21.384,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/11/2019,5658.000,KG,59740.000,1256.000,60996.000,10.558,10.780,10.780,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/11/2019,3016.000,KG,31848.000,100.000,31948.000,10.559,10.592,10.592,0.000,JAPAN,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/12/2019,16741.000,KG,176748.000,150.000,176898.000,10.557,10.566,10.566,0.000,MEXICO,SAN DIEGO CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/12/2019,550.000,KG,2750.000,2500.000,5250.000,5.000,9.545,9.545,0.000,DOMINICAN REPUBLIC,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/12/2019,9487.000,KG,100159.000,2301.000,102460.000,10.557,10.800,10.800,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/12/2019,1000.000,KG,39000.000,4500.000,43500.000,39.000,43.500,43.500,0.000,GREECE,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2020,500.000,KG,3500.000,2400.000,5900.000,7.000,11.800,11.800,0.000,CHILE,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2020,1987.000,KG,35828.000,9005.000,44833.000,18.031,22.563,22.563,0.000,JAMAICA,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/02/2020,5930.000,KG,62610.000,1427.000,64037.000,10.558,10.798,10.798,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2020,455.000,KG,2275.000,1026.000,3301.000,5.000,7.254,7.254,0.000,DOMINICAN REPUBLIC,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2020,525.000,KG,42000.000,667.000,42667.000,80.000,81.270,81.270,0.000,HONDURAS,HOUSTON TEX.
